Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
78683a750d4837a60ca3dd4b700bf161	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella		0.999999884115
aba034385f2331cfe4c5ff88c65025f8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mucosae	0.999998162679
0da934f195146062c4dcefd99137a023	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		0.99999997868
73f8fa20ff6e54293c06fdb752447f7a	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megamonas		0.999999920026
5cbfcaddf17324c87399b1117d246825	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis	0.999999794946
fc6e85fde67b2367bd635609fd085d81	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus	0.730797399342
f9f54db9f9f2faa9d7d31da569466260	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.839956774425
f7d7a3ff709ee2c841e25a992984fe39	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.817804640417
61b97afe80b0c08809017e7b1d14d900	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megamonas		0.999999975953
63a928d9a4045a1682765fbf1b703ab6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.799453881378
8084bef50a52eade9117f83b130d02a1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.999992333024
25d9d83f7deac4e233e8102662bc992b	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.964042367265
108565690d20700e5ba155055db79dc2	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megamonas		0.999999998061
3bffec1d4e4d043808ee908957de2929	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.998918378149
77ef95e18fb200767be09beb65ad7e28	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.943721657067
209905bac48b8db2c9b1e05beecc0cbc	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.952758117415
b326f3599a22c5f252e8b8fe48a84fa4	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.99881004085
f0dca6705ca1fe1fc070203313fff477	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	perfringens	0.999973074278
9d311ed5724fce5cf94ecb36bb064129	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus	0.857046759506
922720bdaed88cfa988a16d407f018aa	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri	0.893334279385
23943889a71d7b9a57d0b4dd1d2151c8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.999999317949
dafd3a63f34ae99453364dc5b80a7cfb	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens	0.990031029344
128bb41d4d0805108637a599536e654c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	faecis	0.789109757361
